Displacement [mm] - FD curve	Force [N] - FD curve	
2.6785	-0.000994626	
2.67575	-0.00216569	
2.673	-0.00145004	
2.67025	0.00108726	
2.6675	-0.00184039	
2.66475	-0.00470299	
2.662	-0.00203557	
2.65925	-0.00210063	
2.6565	-0.000474153	
2.65375	-0.000344035	
2.651	0.000631851	
2.64825	-0.000604271	
2.6455	-0.000409094	
2.64275	0.000111378	
2.64	-0.000278976	
2.63725	-0.0026211	
2.6345	-0.00164522	
2.63175	-0.0011898	
2.629	-0.000799448	
2.62625	0.000892087	
2.6235	-1.87397E-5	
2.62075	-0.00112474	
2.618	-0.000344035	
2.61525	0.00193303	
2.6125	-0.000148858	
2.60975	-0.000734389	
2.607	-0.00066933	
2.60425	-1.87397E-5	
2.6015	4.63193E-5	
2.59875	0.00069691	
2.596	0.0013475	
2.59325	-0.000474153	
2.5905	-0.000213917	
2.58775	-0.00255604	
2.585	0.00069691	
2.58225	-0.00131992	
2.5795	-0.000734389	
2.57675	0.00160774	
2.574	0.000566792	
2.57125	-0.00112474	
2.5685	0.000436674	
2.56575	-0.000278976	
2.563	-0.000344035	
2.56025	0.00290892	
2.5575	0.00154268	
2.55475	0.000306556	
2.552	-0.00138498	
2.54925	0.000631851	
2.5465	-0.000604271	
2.54375	0.000957146	
2.541	-0.00242592	
2.53825	-0.00131992	
2.5355	-0.00203557	
2.53275	-0.00112474	
2.53	-0.0011898	
2.52725	-0.000539212	
2.5245	0.000371615	
2.52175	0.0016728	
2.519	0.00154268	
2.51625	0.000371615	
2.5135	-1.87397E-5	
2.51075	0.000176437	
2.508	-0.000864507	
2.50525	-0.000148858	
2.5025	-0.00158016	
2.49975	-0.000148858	
2.497	-8.37988E-5	
2.49425	-0.000344035	
2.4915	-0.0011898	
2.48875	0.00557634	
2.486	-0.00066933	
2.48325	4.63193E-5	
2.4805	0.00102221	
2.47775	-0.00301146	
2.475	0.00115232	
2.47225	-0.00216569	
2.4695	-0.000864507	
2.46675	-0.000409094	
2.464	0.00251856	
2.46125	4.63193E-5	
2.4585	-0.000213917	
2.45575	-0.00066933	
2.453	-0.00210063	
2.45025	-0.00158016	
2.4475	-0.00190545	
2.44475	0.00115232	
2.442	-0.0011898	
2.43925	-0.00145004	
2.4365	0.00102221	
2.43375	0.000566792	
2.431	-0.000474153	
2.42825	0.00115232	
2.4255	-0.00190545	
2.42275	-0.000344035	
2.42	0.00316915	
2.41725	0.000176437	
2.4145	0.00193303	
2.41175	-0.000344035	
2.409	0.00401492	
2.40625	-0.0026211	
2.4035	-0.00268616	
2.40075	-0.000539212	
2.398	-0.000409094	
2.39525	0.000111378	
2.3925	-1.87397E-5	
2.38975	0.000566792	
2.387	-0.000734389	
2.38425	0.00206315	
2.3815	0.000501733	
2.37875	0.000761969	
2.376	0.000176437	
2.37325	-0.000994626	
2.3705	0.000111378	
2.36775	4.63193E-5	
2.365	0.00154268	
2.36225	0.000631851	
2.3595	-0.000213917	
2.35675	-0.000604271	
2.354	0.00160774	
2.35125	-0.000929566	
2.3485	-0.000604271	
2.34575	-0.00190545	
2.343	-0.0011898	
2.34025	-0.000539212	
2.3375	-0.000864507	
2.33475	0.00199809	
2.332	-1.87397E-5	
2.32925	-0.000409094	
2.3265	-0.000344035	
2.32375	-0.000409094	
2.321	-0.000344035	
2.31825	0.000176437	
2.3155	-0.000734389	
2.31275	-0.000344035	
2.31	-0.00125486	
2.30725	-0.00066933	
2.3045	0.000631851	
2.30175	-0.00105968	
2.299	-0.00125486	
2.29625	-0.000278976	
2.2935	-0.00268616	
2.29075	0.000827028	
2.288	-0.00223075	
2.28525	-0.000474153	
2.2825	-0.000213917	
2.27975	0.000371615	
2.277	-0.00288134	
2.27425	-0.0011898	
2.2715	-0.000409094	
2.26875	0.000501733	
2.266	0.000306556	
2.26325	-0.00131992	
2.2605	-0.00112474	
2.25775	-0.000148858	
2.255	0.000241496	
2.25225	0.000436674	
2.2495	-0.000539212	
2.24675	4.63193E-5	
2.244	0.000957146	
2.24125	0.00251856	
2.2385	0.000631851	
2.23575	0.00121738	
2.233	-0.000213917	
2.23025	-0.000474153	
2.2275	-0.000148858	
2.22475	-0.00125486	
2.222	0.000957146	
2.21925	-0.00288134	
2.2165	0.00173785	
2.21375	-1.87397E-5	
2.211	0.00154268	
2.20825	-0.000278976	
2.2055	0.000501733	
2.20275	0.00173785	
2.2	0.00108726	
2.19725	0.000566792	
2.1945	0.000501733	
2.19175	-0.000148858	
2.189	-0.000278976	
2.18625	-0.00066933	
2.1835	-0.000474153	
2.18075	-0.0026211	
2.178	-0.000864507	
2.17525	-0.000539212	
2.1725	0.000566792	
2.16975	0.00186797	
2.167	0.000176437	
2.16425	-0.00066933	
2.1615	-0.000539212	
2.15875	4.63193E-5	
2.156	0.0013475	
