Displacement [mm] - FD curve	Force [N] - FD curve	
2.299	0.136188	
2.30175	0.13629	
2.3045	0.136595	
2.30725	0.136697	
2.31	0.136799	
2.31275	0.137105	
2.3155	0.137207	
2.31825	0.137513	
2.321	0.137717	
2.32375	0.137819	
2.3265	0.138022	
2.32925	0.138226	
2.332	0.138328	
2.33475	0.138634	
2.3375	0.138736	
2.34025	0.139042	
2.343	0.139144	
2.34575	0.139348	
2.3485	0.139551	
2.35125	0.139755	
2.354	0.139857	
2.35675	0.140163	
2.3595	0.140265	
2.36225	0.140571	
2.365	0.140673	
2.36775	0.140877	
2.3705	0.141081	
2.37325	0.141284	
2.376	0.14159	
2.37875	0.141692	
2.3815	0.141794	
2.38425	0.1421	
2.387	0.142202	
2.38975	0.142406	
2.3925	0.142712	
2.39525	0.142813	
2.398	0.143119	
2.40075	0.143221	
2.4035	0.143323	
2.40625	0.143629	
2.409	0.143833	
2.41175	0.144037	
2.4145	0.144241	
2.41725	0.144343	
2.42	0.144648	
2.42275	0.14475	
2.4255	0.144954	
2.42825	0.145158	
2.431	0.145362	
2.43375	0.145668	
2.4365	0.14577	
2.43925	0.145973	
2.442	0.146177	
2.44475	0.146381	
2.4475	0.146483	
2.45025	0.146789	
2.453	0.146891	
2.45575	0.147197	
2.4585	0.147401	
2.46125	0.147503	
2.464	0.147808	
2.46675	0.14791	
2.4695	0.148216	
2.47225	0.148318	
2.475	0.148522	
2.47775	0.148726	
2.4805	0.14893	
2.48325	0.149032	
2.486	0.149337	
2.48875	0.149541	
2.4915	0.149745	
2.49425	0.149949	
2.497	0.150051	
2.49975	0.150357	
2.5025	0.150459	
2.50525	0.150765	
2.508	0.150968	
2.51075	0.15107	
2.5135	0.151376	
2.51625	0.151478	
2.519	0.15158	
2.52175	0.151886	
2.5245	0.15209	
2.52725	0.152294	
2.53	0.152497	
2.53275	0.152599	
2.5355	0.152905	
2.53825	0.153007	
2.541	0.153313	
2.54375	0.153517	
2.5465	0.153619	
2.54925	0.153925	
2.552	0.154128	
2.55475	0.154332	
2.5575	0.154536	
2.56025	0.154638	
2.563	0.154944	
2.56575	0.155046	
2.5685	0.15525	
2.57125	0.155556	
2.574	0.155657	
2.57675	0.155963	
2.5795	0.156065	
2.58225	0.156269	
2.585	0.156575	
2.58775	0.156677	
2.5905	0.156983	
2.59325	0.157085	
2.596	0.157288	
2.59875	0.157594	
2.6015	0.157696	
2.60425	0.1579	
2.607	0.158104	
2.60975	0.158308	
2.6125	0.15841	
2.61525	0.158716	
2.618	0.158919	
2.62075	0.159225	
2.6235	0.159327	
2.62625	0.159429	
2.629	0.159735	
2.63175	0.159939	
2.6345	0.160245	
2.63725	0.160347	
2.64	0.16055	
2.64275	0.160856	
2.6455	0.160958	
2.64825	0.16106	
2.651	0.161366	
2.65375	0.16157	
2.6565	0.161876	
2.65925	0.161978	
2.662	0.162181	
2.66475	0.162487	
2.6675	0.162589	
2.67025	0.162793	
2.673	0.162997	
2.67575	0.163201	
2.6785	0.163507	
2.68125	0.163609	
2.684	0.163812	
2.68675	0.164118	
2.6895	0.16422	
2.69225	0.164424	
2.695	0.16473	
2.69775	0.164832	
2.7005	0.165138	
2.70325	0.165341	
2.706	0.165443	
2.70875	0.165749	
2.7115	0.165851	
2.71425	0.166055	
2.717	0.166361	
2.71975	0.166463	
2.7225	0.166769	
2.72525	0.166972	
2.728	0.167074	
2.73075	0.16738	
2.7335	0.167584	
2.73625	0.16789	
2.739	0.167992	
2.74175	0.168196	
2.7445	0.168502	
2.74725	0.168603	
2.75	0.168705	
2.74725	0.169011	
2.7445	0.169215	
