Freq.	-V(n001)/I(V1)	-V(n056)/I(V2)
3.52000000000000e+002	(1.11392907052199e+002dB,8.99999940799937e+001°)	(1.25835254338185e+002dB,8.99999979378995e+001°)
3.53000000000000e+002	(1.11578268801336e+002dB,8.99999941995569e+001°)	(1.25864867843466e+002dB,8.99999979415388e+001°)
3.54000000000000e+002	(1.11759464887363e+002dB,8.99999943139604e+001°)	(1.25894430610175e+002dB,8.99999979451469e+001°)
3.55000000000000e+002	(1.11936675471818e+002dB,8.99999944235310e+001°)	(1.25923943081554e+002dB,8.99999979487239e+001°)
3.56000000000000e+002	(1.12110069400156e+002dB,8.99999945285684e+001°)	(1.25953405697812e+002dB,8.99999979522701e+001°)
3.57000000000000e+002	(1.12279805128957e+002dB,8.99999946293481e+001°)	(1.25982818896167e+002dB,8.99999979557856e+001°)
3.58000000000000e+002	(1.12446031560102e+002dB,8.99999947261237e+001°)	(1.26012183110881e+002dB,8.99999979592707e+001°)
3.59000000000000e+002	(1.12608888792770e+002dB,8.99999948191291e+001°)	(1.26041498773298e+002dB,8.99999979627256e+001°)
3.60000000000000e+002	(1.12768508803037e+002dB,8.99999949085802e+001°)	(1.26070766311885e+002dB,8.99999979661505e+001°)
3.61000000000000e+002	(1.12925016059042e+002dB,8.99999949946767e+001°)	(1.26099986152264e+002dB,8.99999979695455e+001°)
3.62000000000000e+002	(1.13078528079081e+002dB,8.99999950776038e+001°)	(1.26129158717255e+002dB,8.99999979729109e+001°)
3.63000000000000e+002	(1.13229155938771e+002dB,8.99999951575331e+001°)	(1.26158284426903e+002dB,8.99999979762468e+001°)
3.64000000000000e+002	(1.13377004732796e+002dB,8.99999952346241e+001°)	(1.26187363698524e+002dB,8.99999979795535e+001°)
3.65000000000000e+002	(1.13522173996019e+002dB,8.99999953090252e+001°)	(1.26216396946732e+002dB,8.99999979828311e+001°)
3.66000000000000e+002	(1.13664758088230e+002dB,8.99999953808745e+001°)	(1.26245384583477e+002dB,8.99999979860799e+001°)
3.67000000000000e+002	(1.13804846546112e+002dB,8.99999954503010e+001°)	(1.26274327018080e+002dB,8.99999979892999e+001°)
3.68000000000000e+002	(1.13942524405867e+002dB,8.99999955174250e+001°)	(1.26303224657265e+002dB,8.99999979924915e+001°)
3.69000000000000e+002	(1.14077872499257e+002dB,8.99999955823590e+001°)	(1.26332077905195e+002dB,8.99999979956547e+001°)
3.70000000000000e+002	(1.14210967725792e+002dB,8.99999956452083e+001°)	(1.26360887163502e+002dB,8.99999979987897e+001°)
3.71000000000000e+002	(1.14341883303144e+002dB,8.99999957060714e+001°)	(1.26389652831320e+002dB,8.99999980018968e+001°)
3.72000000000000e+002	(1.14470688998021e+002dB,8.99999957650410e+001°)	(1.26418375305322e+002dB,8.99999980049761e+001°)
3.73000000000000e+002	(1.14597451339240e+002dB,8.99999958222037e+001°)	(1.26447054979744e+002dB,8.99999980080277e+001°)
3.74000000000000e+002	(1.14722233814551e+002dB,8.99999958776413e+001°)	(1.26475692246423e+002dB,8.99999980110518e+001°)
3.75000000000000e+002	(1.14845097052787e+002dB,8.99999959314304e+001°)	(1.26504287494825e+002dB,8.99999980140486e+001°)
3.76000000000000e+002	(1.14966098992580e+002dB,8.99999959836433e+001°)	(1.26532841112077e+002dB,8.99999980170183e+001°)
3.77000000000000e+002	(1.15085295038801e+002dB,8.99999960343482e+001°)	(1.26561353482997e+002dB,8.99999980199610e+001°)
3.78000000000000e+002	(1.15202738207803e+002dB,8.99999960836091e+001°)	(1.26589824990122e+002dB,8.99999980228769e+001°)
3.79000000000000e+002	(1.15318479262429e+002dB,8.99999961314868e+001°)	(1.26618256013741e+002dB,8.99999980257661e+001°)
3.80000000000000e+002	(1.15432566837591e+002dB,8.99999961780385e+001°)	(1.26646646931923e+002dB,8.99999980286287e+001°)
3.81000000000000e+002	(1.15545047557255e+002dB,8.99999962233184e+001°)	(1.26674998120545e+002dB,8.99999980314651e+001°)
3.82000000000000e+002	(1.15655966143475e+002dB,8.99999962673776e+001°)	(1.26703309953321e+002dB,8.99999980342752e+001°)
3.83000000000000e+002	(1.15765365518171e+002dB,8.99999963102648e+001°)	(1.26731582801831e+002dB,8.99999980370592e+001°)
3.84000000000000e+002	(1.15873286898176e+002dB,8.99999963520257e+001°)	(1.26759817035550e+002dB,8.99999980398173e+001°)
3.85000000000000e+002	(1.15979769884082e+002dB,8.99999963927041e+001°)	(1.26788013021872e+002dB,8.99999980425496e+001°)
3.86000000000000e+002	(1.16084852543414e+002dB,8.99999964323413e+001°)	(1.26816171126142e+002dB,8.99999980452563e+001°)
3.87000000000000e+002	(1.16188571488511e+002dB,8.99999964709766e+001°)	(1.26844291711678e+002dB,8.99999980479376e+001°)
3.88000000000000e+002	(1.16290961949495e+002dB,8.99999965086473e+001°)	(1.26872375139803e+002dB,8.99999980505934e+001°)
3.89000000000000e+002	(1.16392057842805e+002dB,8.99999965453889e+001°)	(1.26900421769867e+002dB,8.99999980532241e+001°)
3.90000000000000e+002	(1.16491891835444e+002dB,8.99999965812352e+001°)	(1.26928431959277e+002dB,8.99999980558297e+001°)
3.91000000000000e+002	(1.16590495405434e+002dB,8.99999966162183e+001°)	(1.26956406063518e+002dB,8.99999980584103e+001°)
3.92000000000000e+002	(1.16687898898601e+002dB,8.99999966503687e+001°)	(1.26984344436186e+002dB,8.99999980609661e+001°)
3.93000000000000e+002	(1.16784131582055e+002dB,8.99999966837158e+001°)	(1.27012247429004e+002dB,8.99999980634972e+001°)
