Freq.	I(V1)	I(V1)/(2*pi*freq)	I(V2)	I(V2)/(2*pi*freq)
1.11943788346715e+002	(-4.42113541108117e+001dB,-9.00003524596175e+001°)	(-1.01154951477974e+002dB,-9.00003524596175e+001°)	(-9.92038572534151e+001dB,8.99996458563774e+001°)	(-1.56147454620577e+002dB,8.99996458563774e+001°)
1.12201845430196e+002	(-4.41867233238713e+001dB,-9.00003534607063e+001°)	(-1.01150320691034e+002dB,-9.00003534607063e+001°)	(-9.91792044855987e+001dB,8.99996448514035e+001°)	(-1.56142801852761e+002dB,8.99996448514035e+001°)
1.12460497396692e+002	(-4.41620686723641e+001dB,-9.00003544656133e+001°)	(-1.01145666039526e+002dB,-9.00003544656133e+001°)	(-9.91545277516422e+001dB,8.99996438426024e+001°)	(-1.56138125118804e+002dB,8.99996438426024e+001°)
1.12719745617551e+002	(-4.41373900204022e+001dB,-9.00003554743604e+001°)	(-1.01140987387565e+002dB,-9.00003554743604e+001°)	(-9.91298269151877e+001dB,8.99996428299522e+001°)	(-1.56133424282350e+002dB,8.99996428299522e+001°)
1.12979591467279e+002	(-4.41126872311903e+001dB,-9.00003564869698e+001°)	(-1.01136284598353e+002dB,-9.00003564869698e+001°)	(-9.91051018389678e+001dB,8.99996418134307e+001°)	(-1.56128699206130e+002dB,8.99996418134307e+001°)
1.13240036323555e+002	(-4.40879601670185e+001dB,-9.00003575034637e+001°)	(-1.01131557534181e+002dB,-9.00003575034637e+001°)	(-9.90803523847984e+001dB,8.99996407930156e+001°)	(-1.56123949751961e+002dB,8.99996407930156e+001°)
1.13501081567231e+002	(-4.40632086892544e+001dB,-9.00003585238648e+001°)	(-1.01126806056417e+002dB,-9.00003585238648e+001°)	(-9.90555784135708e+001dB,8.99996397686843e+001°)	(-1.56119175780733e+002dB,8.99996397686843e+001°)
1.13762728582343e+002	(-4.40384326583361e+001dB,-9.00003595481956e+001°)	(-1.01122030025498e+002dB,-9.00003595481956e+001°)	(-9.90307797852441e+001dB,8.99996387404143e+001°)	(-1.56114377152406e+002dB,8.99996387404143e+001°)
1.14024978756117e+002	(-4.40136319337640e+001dB,-9.00003605764790e+001°)	(-1.01117229300926e+002dB,-9.00003605764790e+001°)	(-9.90059563588380e+001dB,8.99996377081824e+001°)	(-1.56109553726000e+002dB,8.99996377081824e+001°)
1.14287833478977e+002	(-4.39888063740931e+001dB,-9.00003616087381e+001°)	(-1.01112403741255e+002dB,-9.00003616087381e+001°)	(-9.89811079924243e+001dB,8.99996366719658e+001°)	(-1.56104705359587e+002dB,8.99996366719658e+001°)
1.14551294144553e+002	(-4.39639558369254e+001dB,-9.00003626449962e+001°)	(-1.01107553204088e+002dB,-9.00003626449962e+001°)	(-9.89562345431197e+001dB,8.99996356317411e+001°)	(-1.56099831910282e+002dB,8.99996356317411e+001°)
1.14815362149688e+002	(-4.39390801789017e+001dB,-9.00003636852766e+001°)	(-1.01102677546064e+002dB,-9.00003636852766e+001°)	(-9.89313358670774e+001dB,8.99996345874848e+001°)	(-1.56094933234240e+002dB,8.99996345874848e+001°)
1.15080038894443e+002	(-4.39141792556939e+001dB,-9.00003647296031e+001°)	(-1.01097776622856e+002dB,-9.00003647296031e+001°)	(-9.89064118194793e+001dB,8.99996335391734e+001°)	(-1.56090009186642e+002dB,8.99996335391734e+001°)
1.15345325782109e+002	(-4.38892529219967e+001dB,-9.00003657779993e+001°)	(-1.01092850289159e+002dB,-9.00003657779993e+001°)	(-9.88814622545281e+001dB,8.99996324867829e+001°)	(-1.56085059621690e+002dB,8.99996324867829e+001°)
1.15611224219209e+002	(-4.38643010315192e+001dB,-9.00003668304895e+001°)	(-1.01087898398682e+002dB,-9.00003668304895e+001°)	(-9.88564870254384e+001dB,8.99996314302893e+001°)	(-1.56080084392601e+002dB,8.99996314302893e+001°)
1.15877735615512e+002	(-4.38393234369773e+001dB,-9.00003678870977e+001°)	(-1.01082920804140e+002dB,-9.00003678870977e+001°)	(-9.88314859844293e+001dB,8.99996303696683e+001°)	(-1.56075083351592e+002dB,8.99996303696683e+001°)
1.16144861384034e+002	(-4.38143199900848e+001dB,-9.00003689478485e+001°)	(-1.01077917357247e+002dB,-9.00003689478485e+001°)	(-9.88064589827156e+001dB,8.99996293048955e+001°)	(-1.56070056349878e+002dB,8.99996293048955e+001°)
1.16412602941049e+002	(-4.37892905415450e+001dB,-9.00003700127665e+001°)	(-1.01072887908707e+002dB,-9.00003700127665e+001°)	(-9.87814058704993e+001dB,8.99996282359463e+001°)	(-1.56065003237662e+002dB,8.99996282359463e+001°)
1.16680961706096e+002	(-4.37642349410424e+001dB,-9.00003710818765e+001°)	(-1.01067832308205e+002dB,-9.00003710818765e+001°)	(-9.87563264969614e+001dB,8.99996271627957e+001°)	(-1.56059923864124e+002dB,8.99996271627957e+001°)
1.16949939101987e+002	(-4.37391530372342e+001dB,-9.00003721552035e+001°)	(-1.01062750404396e+002dB,-9.00003721552035e+001°)	(-9.87312207102528e+001dB,8.99996260854188e+001°)	(-1.56054818077415e+002dB,8.99996260854188e+001°)
1.17219536554813e+002	(-4.37140446777411e+001dB,-9.00003732327729e+001°)	(-1.01057642044903e+002dB,-9.00003732327729e+001°)	(-9.87060883574860e+001dB,8.99996250037901e+001°)	(-1.56049685724648e+002dB,8.99996250037901e+001°)
1.17489755493952e+002	(-4.36889097091391e+001dB,-9.00003743146101e+001°)	(-1.01052507076301e+002dB,-9.00003743146101e+001°)	(-9.86809292847262e+001dB,8.99996239178842e+001°)	(-1.56044526651888e+002dB,8.99996239178842e+001°)
1.17760597352080e+002	(-4.36637479769501e+001dB,-9.00003754007408e+001°)	(-1.01047345344112e+002dB,-9.00003754007408e+001°)	(-9.86557433369823e+001dB,8.99996228276754e+001°)	(-1.56039340704145e+002dB,8.99996228276754e+001°)
1.18032063565172e+002	(-4.36385593256333e+001dB,-9.00003764911909e+001°)	(-1.01042156692796e+002dB,-9.00003764911909e+001°)	(-9.86305303581982e+001dB,8.99996217331378e+001°)	(-1.56034127725360e+002dB,8.99996217331378e+001°)
1.18304155572516e+002	(-4.36133435985761e+001dB,-9.00003775859867e+001°)	(-1.01036940965738e+002dB,-9.00003775859867e+001°)	(-9.86052901912430e+001dB,8.99996206342451e+001°)	(-1.56028887558405e+002dB,8.99996206342451e+001°)
1.18576874816716e+002	(-4.35881006380845e+001dB,-9.00003786851543e+001°)	(-1.01031698005247e+002dB,-9.00003786851543e+001°)	(-9.85800226779029e+001dB,8.99996195309711e+001°)	(-1.56023620045065e+002dB,8.99996195309711e+001°)
1.18850222743701e+002	(-4.35628302853744e+001dB,-9.00003797887204e+001°)	(-1.01026427652537e+002dB,-9.00003797887204e+001°)	(-9.85547276588709e+001dB,8.99996184232890e+001°)	(-1.56018325026033e+002dB,8.99996184232890e+001°)
1.19124200802737e+002	(-4.35375323805620e+001dB,-9.00003808967118e+001°)	(-1.01021129747724e+002dB,-9.00003808967118e+001°)	(-9.85294049737383e+001dB,8.99996173111722e+001°)	(-1.56013002340901e+002dB,8.99996173111722e+001°)
1.19398810446427e+002	(-4.35122067626542e+001dB,-9.00003820091556e+001°)	(-1.01015804129816e+002dB,-9.00003820091556e+001°)	(-9.85040544609842e+001dB,8.99996161945934e+001°)	(-1.56007651828146e+002dB,8.99996161945934e+001°)
1.19674053130724e+002	(-4.34868532695393e+001dB,-9.00003831260791e+001°)	(-1.01010450636702e+002dB,-9.00003831260791e+001°)	(-9.84786759579672e+001dB,8.99996150735254e+001°)	(-1.56002273325129e+002dB,8.99996150735254e+001°)
1.19949930314937e+002	(-4.34614717379771e+001dB,-9.00003842475096e+001°)	(-1.01005069105139e+002dB,-9.00003842475096e+001°)	(-9.84532693009144e+001dB,8.99996139479408e+001°)	(-1.55996866668077e+002dB,8.99996139479408e+001°)
1.20226443461741e+002	(-4.34360620035893e+001dB,-9.00003853734751e+001°)	(-1.00999659370752e+002dB,-9.00003853734751e+001°)	(-9.84278343249128e+001dB,8.99996128178116e+001°)	(-1.55991431692075e+002dB,8.99996128178116e+001°)
1.20503594037179e+002	(-4.34106239008495e+001dB,-9.00003865040034e+001°)	(-1.00994221268012e+002dB,-9.00003865040034e+001°)	(-9.84023708638985e+001dB,8.99996116831099e+001°)	(-1.55985968231061e+002dB,8.99996116831099e+001°)
1.20781383510677e+002	(-4.33851572630732e+001dB,-9.00003876391229e+001°)	(-1.00988754630235e+002dB,-9.00003876391229e+001°)	(-9.83768787506473e+001dB,8.99996105438075e+001°)	(-1.55980476117810e+002dB,8.99996105438075e+001°)
1.21059813355048e+002	(-4.33596619224078e+001dB,-9.00003887788619e+001°)	(-1.00983259289570e+002dB,-9.00003887788619e+001°)	(-9.83513578167641e+001dB,8.99996093998759e+001°)	(-1.55974955183926e+002dB,8.99996093998759e+001°)
1.21338885046497e+002	(-4.33341377098226e+001dB,-9.00003899232493e+001°)	(-1.00977735076985e+002dB,-9.00003899232493e+001°)	(-9.83258078926732e+001dB,8.99996082512862e+001°)	(-1.55969405259836e+002dB,8.99996082512862e+001°)
