Freq.	-V(n001)/I(V2)	-V(n023)/I(V1)
1.10000000000000e+002	(1.41278622033459e+002dB,-8.99999999640054e+001°)	(1.23173315421320e+002dB,8.99999990971634e+001°)
1.11000000000000e+002	(1.41193583455555e+002dB,-8.99999999636417e+001°)	(1.23258342600632e+002dB,8.99999991046393e+001°)
1.12000000000000e+002	(1.41109184972706e+002dB,-8.99999999632769e+001°)	(1.23342729581717e+002dB,8.99999991119743e+001°)
1.13000000000000e+002	(1.41025413857972e+002dB,-8.99999999629110e+001°)	(1.23426489091515e+002dB,8.99999991191723e+001°)
1.14000000000000e+002	(1.40942257713355e+002dB,-8.99999999625440e+001°)	(1.23509633528019e+002dB,8.99999991262368e+001°)
1.15000000000000e+002	(1.40859704458236e+002dB,-8.99999999621760e+001°)	(1.23592174971868e+002dB,8.99999991331712e+001°)
1.16000000000000e+002	(1.40777742318211e+002dB,-8.99999999618068e+001°)	(1.23674125197439e+002dB,8.99999991399789e+001°)
1.17000000000000e+002	(1.40696359814564e+002dB,-8.99999999614365e+001°)	(1.23755495683461e+002dB,8.99999991466630e+001°)
1.18000000000000e+002	(1.40615545754048e+002dB,-8.99999999610651e+001°)	(1.23836297623185e+002dB,8.99999991532267e+001°)
1.19000000000000e+002	(1.40535289219149e+002dB,-8.99999999606925e+001°)	(1.23916541934119e+002dB,8.99999991596729e+001°)
1.20000000000000e+002	(1.40455579558764e+002dB,-8.99999999603187e+001°)	(1.23996239267364e+002dB,8.99999991660046e+001°)
1.21000000000000e+002	(1.40376406379262e+002dB,-8.99999999599438e+001°)	(1.24075400016554e+002dB,8.99999991722245e+001°)
1.22000000000000e+002	(1.40297759535889e+002dB,-8.99999999595676e+001°)	(1.24154034326440e+002dB,8.99999991783354e+001°)
1.23000000000000e+002	(1.40219629124551e+002dB,-8.99999999591903e+001°)	(1.24232152101118e+002dB,8.99999991843399e+001°)
1.24000000000000e+002	(1.40142005473901e+002dB,-8.99999999588117e+001°)	(1.24309763011925e+002dB,8.99999991902404e+001°)
1.25000000000000e+002	(1.40064879137791e+002dB,-8.99999999584319e+001°)	(1.24386876505025e+002dB,8.99999991960395e+001°)
1.26000000000000e+002	(1.39988240887942e+002dB,-8.99999999580509e+001°)	(1.24463501808685e+002dB,8.99999992017396e+001°)
1.27000000000000e+002	(1.39912081706989e+002dB,-8.99999999576686e+001°)	(1.24539647940273e+002dB,8.99999992073428e+001°)
1.28000000000000e+002	(1.39836392781743e+002dB,-8.99999999572850e+001°)	(1.24615323712979e+002dB,8.99999992128515e+001°)
1.29000000000000e+002	(1.39761165496726e+002dB,-8.99999999569001e+001°)	(1.24690537742271e+002dB,8.99999992182678e+001°)
1.30000000000000e+002	(1.39686391427984e+002dB,-8.99999999565139e+001°)	(1.24765298452116e+002dB,8.99999992235938e+001°)
1.31000000000000e+002	(1.39612062337083e+002dB,-8.99999999561264e+001°)	(1.24839614080949e+002dB,8.99999992288315e+001°)
1.32000000000000e+002	(1.39538170165344e+002dB,-8.99999999557375e+001°)	(1.24913492687427e+002dB,8.99999992339828e+001°)
1.33000000000000e+002	(1.39464707028381e+002dB,-8.99999999553473e+001°)	(1.24986942155959e+002dB,8.99999992390498e+001°)
1.34000000000000e+002	(1.39391665210689e+002dB,-8.99999999549557e+001°)	(1.25059970202039e+002dB,8.99999992440341e+001°)
1.35000000000000e+002	(1.39319037160557e+002dB,-8.99999999545627e+001°)	(1.25132584377375e+002dB,8.99999992489377e+001°)
1.36000000000000e+002	(1.39246815485127e+002dB,-8.99999999541684e+001°)	(1.25204792074832e+002dB,8.99999992537622e+001°)
1.37000000000000e+002	(1.39174992945606e+002dB,-8.99999999537726e+001°)	(1.25276600533196e+002dB,8.99999992585093e+001°)
1.38000000000000e+002	(1.39103562452699e+002dB,-8.99999999533754e+001°)	(1.25348016841769e+002dB,8.99999992631807e+001°)
1.39000000000000e+002	(1.39032517062159e+002dB,-8.99999999529767e+001°)	(1.25419047944789e+002dB,8.99999992677779e+001°)
1.40000000000000e+002	(1.38961849970541e+002dB,-8.99999999525766e+001°)	(1.25489700645707e+002dB,8.99999992723026e+001°)
1.41000000000000e+002	(1.38891554511058e+002dB,-8.99999999521749e+001°)	(1.25559981611303e+002dB,8.99999992767561e+001°)
1.42000000000000e+002	(1.38821624149632e+002dB,-8.99999999517718e+001°)	(1.25629897375662e+002dB,8.99999992811400e+001°)
1.43000000000000e+002	(1.38752052481029e+002dB,-8.99999999513672e+001°)	(1.25699454344012e+002dB,8.99999992854556e+001°)
1.44000000000000e+002	(1.38682833225172e+002dB,-8.99999999509610e+001°)	(1.25768658796427e+002dB,8.99999992897044e+001°)
1.45000000000000e+002	(1.38613960223570e+002dB,-8.99999999505533e+001°)	(1.25837516891406e+002dB,8.99999992938877e+001°)
1.46000000000000e+002	(1.38545427435845e+002dB,-8.99999999501441e+001°)	(1.25906034669329e+002dB,8.99999992980067e+001°)
1.47000000000000e+002	(1.38477228936373e+002dB,-8.99999999497332e+001°)	(1.25974218055799e+002dB,8.99999993020627e+001°)
1.48000000000000e+002	(1.38409358911122e+002dB,-8.99999999493207e+001°)	(1.26042072864869e+002dB,8.99999993060570e+001°)
1.49000000000000e+002	(1.38341811654460e+002dB,-8.99999999489066e+001°)	(1.26109604802162e+002dB,8.99999993099907e+001°)
1.50000000000000e+002	(1.38274581566169e+002dB,-8.99999999484909e+001°)	(1.26176819467891e+002dB,8.99999993138651e+001°)
1.51000000000000e+002	(1.38207663148542e+002dB,-8.99999999480736e+001°)	(1.26243722359777e+002dB,8.99999993176811e+001°)
1.52000000000000e+002	(1.38141051003508e+002dB,-8.99999999476545e+001°)	(1.26310318875876e+002dB,8.99999993214401e+001°)
1.53000000000000e+002	(1.38074739829947e+002dB,-8.99999999472338e+001°)	(1.26376614317310e+002dB,8.99999993251429e+001°)
