Freq.	-V(n001)/I(V1)	-V(n003)/I(V2)
2.60015956316530e+002	(1.44800577150407e+002dB,-9.00000000000000e+001°)	(1.00027837834042e+002dB,8.99999994222629e+001°)
2.61517044813802e+002	(1.44750577150407e+002dB,-9.00000000000000e+001°)	(1.00078418437941e+002dB,8.99999994255407e+001°)
2.63026799189541e+002	(1.44700577150407e+002dB,-9.00000000000000e+001°)	(1.00129005804405e+002dB,8.99999994287994e+001°)
2.64545269472408e+002	(1.44650577150407e+002dB,-9.00000000000000e+001°)	(1.00179600012668e+002dB,8.99999994320392e+001°)
2.66072505979884e+002	(1.44600577150407e+002dB,-9.00000000000000e+001°)	(1.00230201142900e+002dB,8.99999994352602e+001°)
2.67608559319936e+002	(1.44550577150407e+002dB,-9.00000000000000e+001°)	(1.00280809276222e+002dB,8.99999994384624e+001°)
2.69153480392694e+002	(1.44500577150407e+002dB,-9.00000000000000e+001°)	(1.00331424494721e+002dB,8.99999994416461e+001°)
2.70707320392138e+002	(1.44450577150407e+002dB,-9.00000000000000e+001°)	(1.00382046881452e+002dB,8.99999994448112e+001°)
2.72270130807794e+002	(1.44400577150407e+002dB,-9.00000000000000e+001°)	(1.00432676520460e+002dB,8.99999994479579e+001°)
2.73841963426439e+002	(1.44350577150407e+002dB,-9.00000000000000e+001°)	(1.00483313496785e+002dB,8.99999994510864e+001°)
2.75422870333820e+002	(1.44300577150407e+002dB,-9.00000000000000e+001°)	(1.00533957896480e+002dB,8.99999994541966e+001°)
2.77012903916376e+002	(1.44250577150407e+002dB,-9.00000000000000e+001°)	(1.00584609806616e+002dB,8.99999994572887e+001°)
2.78612116862980e+002	(1.44200577150407e+002dB,-9.00000000000000e+001°)	(1.00635269315300e+002dB,8.99999994603629e+001°)
2.80220562166678e+002	(1.44150577150407e+002dB,-9.00000000000000e+001°)	(1.00685936511689e+002dB,8.99999994634191e+001°)
2.81838293126448e+002	(1.44100577150407e+002dB,-9.00000000000000e+001°)	(1.00736611485994e+002dB,8.99999994664576e+001°)
2.83465363348970e+002	(1.44050577150407e+002dB,-9.00000000000000e+001°)	(1.00787294329505e+002dB,8.99999994694784e+001°)
